FromCustomerId;ToCustomerId;AffiliationStatus;MainAddressFlag;Position
001P4000004aJQQIA2;001P4000004Yjy9IAC;ACT;true;
001P4000004aN3rIAE;001P4000004ZCVmIAO;INA;false;
001P4000004aN3rIAE;001P4000004ZFgsIAG;ACT;true;
001P4000004aKCZIA2;001P4000004YLLOIA4;ACT;true;
001P4000004aJOfIAM;001P4000004YQfQIAW;ACT;true;
001P4000004aITLIA2;001P4000004ZQU7IAO;ACT;true;
001P4000004aL8jIAE;001P4000004Yi9MIAS;ACT;false;
001P4000004aIW6IAM;001P4000004YZWPIA4;ACT;true;
001P4000004aNASIA2;001P4000004ZKVBIA4;ACT;true;
001P4000004aNAUIA2;001P4000004Yd6vIAC;ACT;true;
001P4000004aNAUIA2;001P4000004YoDrIAK;ACT;false;
001P4000004aKPwIAM;001P4000004Z1KlIAK;ACT;true;
001P4000005RF4zIAG;001P4000004YrCYIA0;ACT;true;
001P4000004aMHVIA2;001P4000004YknvIAC;ACT;true;
001P4000004aOPwIAM;001P4000004ZK6pIAG;ACT;true;
001P4000004aLLVIA2;001P4000004ZFViIAO;ACT;true;
001P4000004aNm3IAE;001P4000004ZVBiIAO;ACT;true;
001P4000004aFp3IAE;001P4000004YfgPIAS;ACT;true;
001P4000004aNIhIAM;001P4000004YfgPIAS;ACT;true;
001P4000004aBxXIAU;001P4000004ZI5cIAG;ACT;true;
001P4000004aJkOIAU;001P4000004YhVoIAK;ACT;true;
001P4000004aJkOIAU;001P4000004YwpbIAC;ACT;false;
001P4000004aNIuIAM;001P4000004YfgQIAS;ACT;true;
001P4000004aIwBIAU;001P4000004YVPNIA4;ACT;true;
001P4000004aP2kIAE;001P4000004YdGzIAK;ACT;true;
001P4000004aNNHIA2;001P4000004YkBbIAK;ACT;false;
001P4000004aJz5IAE;001P4000004YNOBIA4;ACT;true;
001P4000004aCKEIA2;001P4000004YRjjIAG;ACT;true;
001P4000004aHz7IAE;001P4000004YbYZIA0;ACT;true;
001P4000004aJ6uIAE;001P4000004ZYSvIAO;ACT;false;
001P4000005RFGIIA4;001P4000004Z7ipIAC;ACT;true;
001P4000005R76MIAS;001P4000004YUcxIAG;ACT;true;
001P4000004aF0SIAU;001P4000004ZQU7IAO;ACT;true;
001P4000004aK5lIAE;001P4000004YXRSIA4;ACT;true;
001P4000004aMTlIAM;001P4000004YJHfIAO;ACT;true;
001P4000004aSgiIAE;001P4000004YVIZIA4;INA;false;
001P4000004aIslIAE;001P4000004YyyyIAC;ACT;true;
001P4000004aLJNIA2;001P4000004YOheIAG;ACT;true;
001P4000004aWByIAM;001P4000004YlPRIA0;ACT;false;
001P4000004aS11IAE;001P4000004Ym3sIAC;ACT;false;
001P4000004a9zIIAQ;001P4000004YOAyIAO;ACT;true;
001P4000004aQLFIA2;001P4000004Yo33IAC;INA;false;
001P4000004aMimIAE;001P4000004ZWHSIA4;ACT;true;
001P4000004aQCJIA2;001P4000004YzMTIA0;ACT;true;
001P4000004aP9ZIAU;001P4000004ZSIhIAO;ACT;true;
001P4000004ZrnVIAS;001P4000004YQyxIAG;ACT;false;
001P4000004ZrnXIAS;001P4000004YQyxIAG;ACT;true;
001P4000004aRrbIAE;001P4000004YKFHIA4;ACT;true;
001P4000004aStzIAE;001P4000004YGq8IAG;ACT;true;
001P4000004aNw0IAE;001P4000004YIDdIAO;ACT;false;
001P4000004aT5UIAU;001P4000004Z6v7IAC;ACT;false;
001P4000004aT5UIAU;001P4000004ZDlEIAW;ACT;true;
001P4000004aWCXIA2;001P4000004Z57sIAC;ACT;true;
001P4000004aOopIAE;001P4000004YkHoIAK;ACT;true;
001P4000004aOosIAE;001P4000004YUY0IAO;ACT;true;
001P4000004aVcgIAE;001P4000004ZMVvIAO;ACT;false;
001P4000004aOdDIAU;001P4000004YQ6QIAW;ACT;true;
001P4000004aNoTIAU;001P4000004Z7z5IAC;ACT;true;
001P4000004aVFxIAM;001P4000004YdqEIAS;ACT;false;
001P4000004aUiQIAU;001P4000004ZPi4IAG;ACT;true;
001P4000004aY7PIAU;001P4000004Y8UFIA0;ACT;true;
001P4000004aX4lIAE;001P4000004YpsTIAS;ACT;false;
001P4000004aRgKIAU;001P4000004Z6uvIAC;ACT;true;
001P4000004aVZOIA2;001P4000004YcYsIAK;ACT;true;
001P4000004aUqVIAU;001P4000004ZEkDIAW;ACT;true;
001P4000004aWCiIAM;001P4000004ZOdBIAW;ACT;true;
001P4000004aWPDIA2;001P4000004Yhv1IAC;ACT;true;
001P4000004aN5OIAU;001P4000004Z3vaIAC;ACT;false;
001P4000004aYCMIA2;001P4000004YMpEIAW;ACT;true;
001P4000004aX8HIAU;001P4000004Z0KQIA0;ACT;true;
001P4000004aX8IIAU;001P4000004Z0KQIA0;ACT;true;
001P4000004aYybIAE;001P4000004YJCuIAO;ACT;true;
001P4000004aXzTIAU;001P4000004ZMwyIAG;ACT;true;
001P4000004aXzYIAU;001P4000004ZOdkIAG;ACT;true;
001P4000004aXzZIAU;001P4000004ZOdkIAG;ACT;true;
001P4000004aXzbIAE;001P4000004ZOdkIAG;ACT;true;
001P4000004aZwIIAU;001P4000004ZVegIAG;ACT;true;
001P4000004aU5TIAU;001P4000004ZI72IAG;ACT;true;
001P4000004aV7BIAU;001P4000004YkxnIAC;ACT;false;
001P4000004aWUWIA2;001P4000004Z6zkIAC;ACT;true;
001P4000004aUQUIA2;001P4000004YZUGIA4;ACT;true;
001P4000004aXAJIA2;001P4000004YypLIAS;ACT;false;
001P4000004aUqjIAE;001P4000004ZSPyIAO;ACT;true;
001P4000004a7WHIAY;001P4000004ZI3YIAW;ACT;true;
001P4000004a7WPIAY;001P4000004YduRIAS;ACT;true;
001P4000004aY6PIAU;001P4000004YxfYIAS;ACT;true;
001P4000004adbdIAA;001P4000004YHmLIAW;ACT;false;
001P4000004aSdbIAE;001P4000004ZHPmIAO;ACT;true;
001P4000004aSdeIAE;001P4000004ZHPoIAO;ACT;true;
001P4000004aZeuIAE;001P4000004YbDVIA0;TIN;true;
001P4000004acMvIAI;001P4000004YfXwIAK;ACT;true;
001P4000004abqEIAQ;001P4000004YRDwIAO;ACT;true;
001P4000004aVdXIAU;001P4000004YpzsIAC;ACT;true;
001P4000004adbjIAA;001P4000004ZAtjIAG;ACT;true;
001P4000004ac6eIAA;001P4000004YFPMIA4;ACT;true;
001P4000004ac6gIAA;001P4000004YmbZIAS;ACT;true;
001P4000004aby5IAA;001P4000004ZRrKIAW;ACT;true;
001P4000004aby8IAA;001P4000004Z5N8IAK;ACT;true;
001P4000004aY2kIAE;001P4000004YFPMIA4;ACT;true;
001P4000004aY2lIAE;001P4000004ZHPmIAO;ACT;true;
001P4000004aY2mIAE;001P4000004YFPMIA4;ACT;true;
001P4000004aY2nIAE;001P4000004YXUTIA4;ACT;true;
001P4000004ad8jIAA;001P4000004YiTOIA0;ACT;true;
001P4000004aUbrIAE;001P4000004ZLXBIA4;ACT;true;
001P4000004aXfiIAE;001P4000004Z1KnIAK;ACT;true;
001P4000004aeXvIAI;001P4000004YNmNIAW;ACT;true;
001P4000004aam9IAA;001P4000004YNmNIAW;ACT;false;
001P4000004aesJIAQ;001P4000004Z6DUIA0;ACT;true;
001P4000004aesJIAQ;001P4000004Z4kuIAC;INA;false;
001P4000004aQnOIAU;001P4000004Z1KlIAK;ACT;true;
001P4000004aYX2IAM;001P4000004YXNaIAO;ACT;true;
001P4000004ae8xIAA;001P4000004YIDnIAO;ACT;true;
001P4000004aW1RIAU;001P4000004YSBZIA4;ACT;true;
001P4000004aeeMIAQ;001P4000004Z0KQIA0;ACT;true;
001P4000004afPPIAY;001P4000004YZZ5IAO;ACT;false;
001P4000004adPIIAY;001P4000004ZLXWIA4;ACT;true;
001P4000004aexmIAA;001P4000004ZTRpIAO;ACT;true;
001P4000004aYzbIAE;001P4000004YZkVIAW;ACT;true;
001P4000004adNPIAY;001P4000004YRBvIAO;ACT;true;
001P4000004ado0IAA;001P4000004Yk7DIAS;ACT;true;
001P4000004adxbIAA;001P4000004YZ4RIAW;ACT;true;
001P4000004agD9IAI;001P4000007PqvRIAS;ACT;true;
001P4000004aVS9IAM;001P4000004YHAoIAO;ACT;true;
001P4000004ahSPIAY;001P4000004YZhBIAW;ACT;true;
001P4000004ag5UIAQ;001P4000004ZHSIIA4;ACT;true;
001P4000004aWPWIA2;001P4000004YGjXIAW;ACT;true;
001P4000004aWPWIA2;001P4000004ZUYuIAO;ACT;false;
001P4000004afIsIAI;001P4000004YhwXIAS;ACT;false;
001P4000004aWVkIAM;001P4000004Ye10IAC;ACT;false;
001P4000004aef0IAA;001P4000004ZMwyIAG;ACT;true;
001P4000004ahFzIAI;001P4000004YYeuIAG;ACT;true;
